orden;sitios;codigo;fecha;año;campaña;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
1;Canal Villanueva y Río Luján;TI001;24/2/2021;2021;verano;25.6;27;3.91;6.96;Ausencia;Ausencia;Ausencia;Presencia;4000;1000;330;6.5;0.4;0.92;0.37;<2.0;<30;60;<100;<5.0;<0.001;0;<0.15;42;Extremadamente deteriorada
1;Canal Villanueva y Río Luján;TI001;19/5/2021;2021;otoño;15.6;13;8.28;6.79;Ausencia;Ausencia;Ausencia;Ausencia;4000;200;50;3;0.98;0.2;0.2;4.1;<2.0;<30;110;<100;<0.005;<0.001;< 10.000;48;Muy deteriorada
1;Canal Villanueva y Río Luján;TI001;25/8/2021;2021;invierno;14.8;13;9.9;7.09;Ausencia;Ausencia;Ausencia;Ausencia;1000;200;68;2.1;1.1;<0.20;<0.10;<2.0;<30;27;<100;<0.005;<0.001;<0.010;<0.20;64;Muy deteriorada
1;Canal Villanueva y Río Luján;TI001;27/10/2021;2021;primavera;24.4;29;7.28;6.91;Ausencia;Ausencia;Ausencia;Presencia;400;200;65;2.7;0.44;0.27;0.12;<2.0;31;45;<100;<0.005;<0.001;0.00356;<0.20;55;Muy deteriorada
2;Río Lujan y Arroyo Caraguatá;TI006;24/2/2021;2021;verano;25.7;26;4.31;7.4;Ausencia;Presencia;Ausencia;Ausencia;no se midió;no se midió;no se midió;3.9;0.21;1.1;0.27;3.7;<30;31;<100;<5.0;<0.001;0.005;<0.15;49;Muy deteriorada
2;Río Lujan y Arroyo Caraguatá;TI006;19/5/2021;2021;otoño;15.7;13;6.9;7;Ausencia;Ausencia;Ausencia;Ausencia;30000;1000;800;2.9;0.57;0.19;<0.20;4.3;<2.0;<30;150;<100;<0.005;<0.001;<10.000;39;Extremadamente deteriorada
2;Río Lujan y Arroyo Caraguatá;TI006;25/8/2021;2021;invierno;14.5;13;2.54;6.8;Ausencia;Ausencia;Ausencia;Ausencia;10000;2000;150;<2.0;4.7;0.48;0.57;6.8;<30;22;<100;<0.005;<0.001;0.013;<0.20;43;Extremadamente deteriorada
2;Río Lujan y Arroyo Caraguatá;TI006;27/10/2021;2021;primavera;25.4;33;6.2;6.9;Ausencia;Ausencia;Ausencia;Presencia;2000;1000;58;4.2;3.3;<0.20;0.14;<2.0;37;36;<100;<0.005;<0.001;0.00415;<0.20;48;Muy deteriorada
3;Canal Aliviador y Río Lujan;TI002;24/2/2021;2021;verano;24.6;24;1.21;7.12;Presencia;Presencia;Presencia;Presencia;20000;18000;4600;2.8;6;0.68;0.56;6.3;<30;17;<100;<5.0;<0.001;0.013;<0.15;26;Extremadamente deteriorada
3;Canal Aliviador y Río Lujan;TI002;19/5/2021;2021;otoño;15.7;13;4.82;7.04;Ausencia;Ausencia;Ausencia;Ausencia;80000;60000;5600;2.9;4.3;0.51;0.51;4.8;5.6;<30;70;<100;<0.005;<0.001;<10.000;36;Extremadamente deteriorada
